Band,Sp. Num.,Species Game Birds::SPEC,Species Game Birds::Species,Replaced Band Translated,Replaced Band Code,B Month,BMonth::VMonth,R Month,RMonth::VMonth,B Day,BDay::VRDay,R Day,RDay::VRDay,B Year,R Year,Hunt. Season Surv.,B Flyway,Region::Flyway,R Flyway,RFly::Flyway,B Region,BRegion::STA,BRegion::State,R Region,RRegion::STA,RRegion::State,B Lat,B Long,B Dir,R Lat,R Long,R Dir,GISBLat,GISBLong,GISRLat,GISRLong,B Coordinate Precision,B Coord Precision::LOCATION_ACCURACY_DESC,R Coordinate Precision,R Coord Precision::LOCATION_ACCURACY_DESC,Status,Status::VStatus,How Obt,How Obt::VHow,Add Info,AI::VAI,Who Reported,Who::VWho,Pres. Cond.,Age,Age::VAGE,Condition::VCondition,Sex,Sex::VSEX,Condition::VBandStatus,Permit,Permits::Permittee,"Why (pre 1994), Report Method (after 1994)",Rept Mthd::VRept Mthd,Band Type Orig,BType::VBtype,BType::VText,R Create date Year,R Create date Month,Band Type Current,BType Current::VBtype,BType Current::VText,Marker_Desc_enc,Marker_Desc_bndg,other_bands
142363367,2280,AMWO,American Woodcock,Original Band,0,9,September,10,October,11,,10,,1987,1988,2,2,Mississippi,2,Mississippi,49,MI,Michigan,49,MI,Michigan,460,875,0,454,875,0,46.08333,-87.91667,45.75,-87.91667,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,22,"State, Provincial, or Federal Official",5,1,After Hatch Year,Dead,4,Male,Band removed,20987,,1,Paper,11,Aluminum butt-end,old address,1988,11,11,Aluminum butt-end,old address,,,
142363385,2280,AMWO,American Woodcock,Original Band,0,5,May,10,October,16,,20,,1988,1991,4,2,Mississippi,2,Mississippi,49,MI,Michigan,49,MI,Michigan,460,875,0,460,874,0,46.08333,-87.91667,46.08333,-87.75,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,21,Finder,3,5,Second Year,Dead,4,Male,Band status unknown,20987,,1,Paper,11,Aluminum butt-end,old address,1991,11,11,Aluminum butt-end,old address,,,
142363406,2280,AMWO,American Woodcock,Original Band,0,5,May,2,February,3,,4,,1983,1984,1,2,Mississippi,2,Mississippi,49,MI,Michigan,42,LA,Louisiana,460,875,0,301,905,0,46.08333,-87.91667,30.25,-90.91667,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,24,FWS Parts Collection Survey,3,4,Local,Dead,0,Unknown,Band status unknown,20987,,2,Check station report (discontinued),11,Aluminum butt-end,old address,1984,6,11,Aluminum butt-end,old address,,,
142363432,2280,AMWO,American Woodcock,Original Band,0,9,September,10,October,23,,14,,1983,1989,7,2,Mississippi,2,Mississippi,49,MI,Michigan,49,MI,Michigan,460,875,0,460,880,0,46.08333,-87.91667,46.08333,-88.08333,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,89,"Transmitter. (Obsolete, see 80, 81)",22,"State, Provincial, or Federal Official",5,1,After Hatch Year,Dead,5,Female,Band removed,20987,,1,Paper,11,Aluminum butt-end,old address,1990,2,11,Aluminum butt-end,old address,,,
142363448,2280,AMWO,American Woodcock,Original Band,0,5,May,1,January,8,,21,,1984,1985,1,2,Mississippi,2,Mississippi,49,MI,Michigan,42,LA,Louisiana,460,875,0,305,915,0,46.08333,-87.91667,30.91667,-91.91667,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,21,Finder,5,4,Local,Dead,0,Unknown,Band removed,20987,,1,Paper,11,Aluminum butt-end,old address,1985,4,11,Aluminum butt-end,old address,,,
142363485,2280,AMWO,American Woodcock,Original Band,0,7,July,10,October,2,,19,,1984,1989,6,2,Mississippi,2,Mississippi,49,MI,Michigan,49,MI,Michigan,460,875,0,461,884,0,46.08333,-87.91667,46.25,-88.75,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,18,Blood sample taken.,21,Finder,5,2,Hatch Year,Dead,5,Female,Band removed,20987,,1,Paper,11,Aluminum butt-end,old address,1989,12,11,Aluminum butt-end,old address,,,
142363464,2280,AMWO,American Woodcock,Original Band,0,5,May,11,November,30,,29,,1984,1985,2,2,Mississippi,2,Mississippi,49,MI,Michigan,91,WI,Wisconsin,460,875,0,443,880,0,46.08333,-87.91667,44.58333,-88.08333,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",0,Found dead.,0,Federal numbered metal band only.,21,Finder,5,6,After Second Year,Dead,4,Male,Band removed,20987,,1,Paper,11,Aluminum butt-end,old address,1986,5,11,Aluminum butt-end,old address,,,
142391711,2280,AMWO,American Woodcock,Original Band,0,9,September,10,October,16,,23,,1983,1985,3,2,Mississippi,2,Mississippi,35,IN,Indiana,35,IN,Indiana,411,873,0,411,873,0,41.25,-87.58333,41.25,-87.58333,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,70,Captured by spotlighting.,22,"State, Provincial, or Federal Official",3,1,After Hatch Year,Dead,4,Male,Band status unknown,6377,INDIANA DIVISION OF FISH & WLDLIFE W ADAM PHELPS,2,Check station report (discontinued),11,Aluminum butt-end,old address,1986,5,11,Aluminum butt-end,old address,,,
142391715,2280,AMWO,American Woodcock,Original Band,0,4,April,10,October,27,,16,,1984,1984,1,2,Mississippi,2,Mississippi,35,IN,Indiana,35,IN,Indiana,411,873,0,410,872,0,41.25,-87.58333,41.08333,-87.41667,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,70,Captured by spotlighting.,24,FWS Parts Collection Survey,3,1,After Hatch Year,Dead,4,Male,Band status unknown,6377,INDIANA DIVISION OF FISH & WLDLIFE W ADAM PHELPS,2,Check station report (discontinued),11,Aluminum butt-end,old address,1985,4,11,Aluminum butt-end,old address,,,
142391724,2280,AMWO,American Woodcock,Original Band,0,7,July,9,September,12,,23,,1984,1984,1,2,Mississippi,2,Mississippi,35,IN,Indiana,35,IN,Indiana,411,873,0,411,873,0,41.25,-87.58333,41.25,-87.58333,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,70,Captured by spotlighting.,22,"State, Provincial, or Federal Official",3,2,Hatch Year,Dead,4,Male,Band status unknown,6377,INDIANA DIVISION OF FISH & WLDLIFE W ADAM PHELPS,2,Check station report (discontinued),11,Aluminum butt-end,old address,1985,6,11,Aluminum butt-end,old address,,,
